Date	Female_parent	Male_parent	CrossFamily	FemaleSp	MaleSp	Cross	Who	Bud	Fruited	Number_of_seeds
3-Jan	18-39	18-20	18-39x18-20	La	Au	LaxAu	IL	0	1	1
11-Jan	18-39	18-20	18-39x18-20	La	Au	LaxAu	IL	0	1	2
19-Jan	18-39	18-20	18-39x18-20	La	Au	LaxAu	AF	1	0	0
19-Jan	18-39	18-20	18-39x18-20	La	Au	LaxAu	AF	1	0	0
18-Nov	18-04	18-10	18-04x18-10	La	G	LaxG	IL	1	0	0
24-Nov	18-04	18-10	18-04x18-10	La	G	LaxG	IL	0	1	3
25-Nov	18-04	18-10	18-04x18-10	La	G	LaxG	IL	0	1	3
28-Nov	18-04	18-10	18-04x18-10	La	G	LaxG	AF	0	1	3
30-Nov	18-04	18-10	18-04x18-10	La	G	LaxG	AF	0	1	1
30-Oct	18-05	18-16	18-05x18-16	La	G	LaxG	IL	1	0	0
3-Nov	18-05	18-16	18-05x18-16	La	G	LaxG	IL	0	1	4
4-Nov	18-05	18-16	18-05x18-16	La	G	LaxG	IL	1	0	0
14-Nov	18-05	18-16	18-05x18-16	La	G	LaxG	IL	0	1	1
24-Nov	18-05	18-16	18-05x18-16	La	G	LaxG	IL	0	1	1
30-Nov	18-05	18-16	18-05x18-16	La	G	LaxG	AF	1	0	0
31-Dec	18-06	18-13	18-06x18-13	La	G	LaxG	IL	1	0	0
3-Jan	18-06	18-13	18-06x18-13	La	G	LaxG	IL	1	0	0
11-Jan	18-06	18-13	18-06x18-13	La	G	LaxG	IL	1	0	0
12-Jan	18-06	18-13	18-06x18-13	La	G	LaxG	IL	0	1	3
19-Jan	18-06	18-13	18-06x18-13	La	G	LaxG	AF	0	1	1
18-Oct	18-07	18-09	18-07x18-09	La	G	LaxG	AF	1	0	0
18-Oct	18-07	18-09	18-07x18-09	La	G	LaxG	AF	0	1	1
4-Dec	18-07	18-09	18-07x18-09	La	G	LaxG	IL	1	0	0
19-Jan	18-07	18-09	18-07x18-09	La	G	LaxG	AF	0	1	1
19-Jan	18-07	18-09	18-07x18-09	La	G	LaxG	AF	1	0	0
22-Jan	18-34	18-15	18-34x18-15	La	G	LaxG	AF	0	1	1
8-Feb	18-34	18-15	18-34x18-15	La	G	LaxG	AF	1	0	0
12-Feb	18-34	18-15	18-34x18-15	La	G	LaxG	AF	1	0	0
19-Jan	18-35	18-11	18-35x18-11	La	G	LaxG	AF	1	0	0
22-Jan	18-35	18-11	18-35x18-11	La	G	LaxG	AF	0	1	1
22-Jan	18-35	18-11	18-35x18-11	La	G	LaxG	AF	0	1	1
25-Jan	18-35	18-11	18-35x18-11	La	G	LaxG	AF	0	1	1
25-Jan	18-35	18-11	18-35x18-11	La	G	LaxG	AF	0	1	3
22-Jan	18-36	18-14	18-36x18-14	La	G	LaxG	AF	0	1	4
25-Jan	18-36	18-14	18-36x18-14	La	G	LaxG	AF	1	0	0
25-Jan	18-36	18-14	18-36x18-14	La	G	LaxG	AF	1	0	0
25-Jan	18-36	18-14	18-36x18-14	La	G	LaxG	AF	1	0	0
25-Jan	18-36	18-14	18-36x18-14	La	G	LaxG	AF	0	1	3
25-Jan	18-36	18-14	18-36x18-14	La	G	LaxG	AF	0	1	1
30-Dec	18-37	18-17	18-37x18-17	La	G	LaxG	IL	1	0	0
6-Jan	18-37	18-17	18-37x18-17	La	G	LaxG	IL	1	0	0
19-Jan	18-37	18-17	18-37x18-17	La	G	LaxG	AF	0	1	1
19-Jan	18-37	18-17	18-37x18-17	La	G	LaxG	AF	1	0	0
19-Jan	18-37	18-17	18-37x18-17	La	G	LaxG	AF	1	0	0
22-Jan	18-38	18-08	18-38x18-08	La	G	LaxG	AF	1	0	0
22-Jan	18-38	18-08	18-38x18-08	La	G	LaxG	AF	0	1	4
22-Jan	18-38	18-08	18-38x18-08	La	G	LaxG	AF	0	1	1
25-Jan	18-38	18-08	18-38x18-08	La	G	LaxG	AF	1	0	0
25-Jan	18-38	18-08	18-38x18-08	La	G	LaxG	AF	1	0	0
25-Jan	18-38	18-08	18-38x18-08	La	G	LaxG	AF	1	0	0
3-Jan	18-39	18-12	18-39x18-12	La	G	LaxG	IL	1	0	0
19-Jan	18-39	18-12	18-39x18-12	La	G	LaxG	AF	0	1	2
19-Jan	18-39	18-12	18-39x18-12	La	G	LaxG	AF	1	0	0
19-Jan	18-39	18-12	18-39x18-12	La	G	LaxG	AF	1	0	0
19-Jan	18-39	18-12	18-39x18-12	La	G	LaxG	AF	1	0	0
1-Nov	18-04	18-26	18-04x18-26	La	Le	LaxLe	AF	1	0	0
25-Nov	18-04	18-26	18-04x18-26	La	Le	LaxLe	IL	0	1	3
27-Nov	18-04	18-26	18-04x18-26	La	Le	LaxLe	IL	1	0	0
1-Dec	18-04	18-26	18-04x18-26	La	Le	LaxLe	IL	0	1	2
4-Dec	18-04	18-26	18-04x18-26	La	Le	LaxLe	IL	0	1	2
17-Oct	18-05	18-25	18-05x18-25	La	Le	LaxLe	AF	0	1	1
18-Oct	18-05	18-25	18-05x18-25	La	Le	LaxLe	AF	1	0	0
27-Oct	18-05	18-25	18-05x18-25	La	Le	LaxLe	IL	0	1	3
6-Nov	18-05	18-25	18-05x18-25	La	Le	LaxLe	IL	1	0	0
24-Nov	18-05	18-25	18-05x18-25	La	Le	LaxLe	IL	1	0	0
25-Nov	18-05	18-25	18-05x18-25	La	Le	LaxLe	IL	0	1	2
20-Oct	18-06	18-25	18-06x18-25	La	Le	LaxLe	IL	0	1	4
21-Oct	18-06	18-25	18-06x18-25	La	Le	LaxLe	IL	0	1	3
27-Oct	18-06	18-25	18-06x18-25	La	Le	LaxLe	IL	0	1	4
29-Oct	18-06	18-25	18-06x18-25	La	Le	LaxLe	IL	0	1	4
29-Oct	18-06	18-25	18-06x18-25	La	Le	LaxLe	IL	0	1	4
30-Oct	18-06	18-25	18-06x18-25	La	Le	LaxLe	IL	0	1	2
11-Oct	18-07	18-24	18-07x18-24	La	Le	LaxLe	AF	1	0	0
17-Oct	18-07	18-24	18-07x18-24	La	Le	LaxLe	AF	1	0	0
27-Oct	18-07	18-24	18-07x18-24	La	Le	LaxLe	IL	0	1	3
1-Nov	18-07	18-24	18-07x18-24	La	Le	LaxLe	AF	1	0	0
2-Nov	18-07	18-24	18-07x18-24	La	Le	LaxLe	AF	0	1	3
4-Nov	18-07	18-24	18-07x18-24	La	Le	LaxLe	IL	0	1	1
6-Jan	18-34	18-26	18-34x18-26	La	Le	LaxLe	IL	0	1	2
10-Jan	18-34	18-26	18-34x18-26	La	Le	LaxLe	IL	0	1	3
11-Jan	18-34	18-26	18-34x18-26	La	Le	LaxLe	IL	0	1	0
5-Feb	18-34	18-26	18-34x18-26	La	Le	LaxLe	AF	0	1	4
10-Jan	18-35	18-23	18-35x18-23	La	Le	LaxLe	IL	0	1	3
11-Jan	18-35	18-23	18-35x18-23	La	Le	LaxLe	IL	0	1	2
19-Jan	18-35	18-23	18-35x18-23	La	Le	LaxLe	AF	0	1	4
19-Jan	18-35	18-23	18-35x18-23	La	Le	LaxLe	AF	0	1	4
19-Jan	18-35	18-23	18-35x18-23	La	Le	LaxLe	AF	0	1	3
30-Dec	18-36	18-24	18-36x18-24	La	Le	LaxLe	IL	0	1	4
10-Jan	18-36	18-24	18-36x18-24	La	Le	LaxLe	IL	0	1	4
11-Jan	18-36	18-24	18-36x18-24	La	Le	LaxLe	IL	0	1	4
22-Jan	18-36	18-24	18-36x18-24	La	Le	LaxLe	AF	0	1	2
22-Jan	18-36	18-24	18-36x18-24	La	Le	LaxLe	AF	0	1	1
18-Dec	18-37	18-26	18-37x18-26	La	Le	LaxLe	IL	0	1	3
30-Dec	18-37	18-26	18-37x18-26	La	Le	LaxLe	IL	0	1	1
31-Dec	18-37	18-26	18-37x18-26	La	Le	LaxLe	IL	0	1	3
3-Jan	18-37	18-26	18-37x18-26	La	Le	LaxLe	IL	0	1	3
30-Dec	18-38	18-23	18-38x18-23	La	Le	LaxLe	IL	0	1	2
6-Jan	18-38	18-23	18-38x18-23	La	Le	LaxLe	IL	0	1	3
10-Jan	18-38	18-23	18-38x18-23	La	Le	LaxLe	IL	0	1	4
11-Jan	18-38	18-23	18-38x18-23	La	Le	LaxLe	IL	0	1	4
19-Jan	18-38	18-23	18-38x18-23	La	Le	LaxLe	AF	0	1	3
18-Dec	18-39	18-24	18-39x18-24	La	Le	LaxLe	IL	0	1	3
30-Dec	18-39	18-24	18-39x18-24	La	Le	LaxLe	IL	0	1	0
31-Dec	18-39	18-24	18-39x18-24	La	Le	LaxLe	IL	0	1	3
3-Jan	18-39	18-24	18-39x18-24	La	Le	LaxLe	IL	0	1	1
10-Jan	18-39	18-24	18-39x18-24	La	Le	LaxLe	IL	0	1	2
2-Feb	18-35	18-35	18-35x18-35	La	S	LaxS	AF	0	1	1
2-Feb	18-35	18-35	18-35x18-35	La	S	LaxS	AF	0	1	4
3-Feb	18-35	18-35	18-35x18-35	La	S	LaxS	AF	1	0	0
3-Feb	18-35	18-35	18-35x18-35	La	S	LaxS	AF	0	1	4
5-Feb	18-35	18-35	18-35x18-35	La	S	LaxS	AF	0	1	1
5-Feb	18-35	18-35	18-35x18-35	La	S	LaxS	AF	0	1	2
3-Feb	18-04	18-04	18-04x18-04	La	S	LaxS	AF	0	1	1
3-Feb	18-04	18-04	18-04x18-04	La	S	LaxS	AF	0	1	2
8-Feb	18-04	18-04	18-04x18-04	La	S	LaxS	AF	0	1	4
8-Feb	18-04	18-04	18-04x18-04	La	S	LaxS	AF	0	1	4
9-Feb	18-04	18-04	18-04x18-04	La	S	LaxS	AF	0	1	2
9-Feb	18-04	18-04	18-04x18-04	La	S	LaxS	AF	0	1	3
2-Dec	18-05	18-05	18-05x18-05	La	S	LaxS	IL	0	1	4
16-Dec	18-05	18-05	18-05x18-05	La	S	LaxS	IL	0	1	4
17-Dec	18-05	18-05	18-05x18-05	La	S	LaxS	IL	0	1	3
2-Feb	18-05	18-05	18-05x18-05	La	S	LaxS	AF	0	1	2
3-Feb	18-05	18-05	18-05x18-05	La	S	LaxS	AF	0	1	4
27-Oct	18-06	18-06	18-06x18-06	La	S	LaxS	IL	0	1	4
29-Oct	18-06	18-06	18-06x18-06	La	S	LaxS	IL	0	1	4
29-Oct	18-06	18-06	18-06x18-06	La	S	LaxS	IL	0	1	3
30-Oct	18-06	18-06	18-06x18-06	La	S	LaxS	IL	0	1	4
31-Oct	18-06	18-06	18-06x18-06	La	S	LaxS	AF	1	0	0
31-Oct	18-06	18-06	18-06x18-06	La	S	LaxS	AF	1	0	0
31-Oct	18-06	18-06	18-06x18-06	La	S	LaxS	AF	1	0	0
30-Oct	18-07	18-07	18-07x18-07	La	S	LaxS	IL	0	1	4
5-Nov	18-07	18-07	18-07x18-07	La	S	LaxS	IL	0	1	1
6-Nov	18-07	18-07	18-07x18-07	La	S	LaxS	IL	0	1	5
14-Nov	18-07	18-07	18-07x18-07	La	S	LaxS	IL	0	1	4
17-Nov	18-07	18-07	18-07x18-07	La	S	LaxS	IL	0	1	4
5-Feb	18-34	18-34	18-34x18-34	La	S	LaxS	AF	0	1	4
3-Feb	18-36	18-36	18-36x18-36	La	S	LaxS	AF	1	0	0
3-Feb	18-36	18-36	18-36x18-36	La	S	LaxS	AF	0	1	1
5-Feb	18-36	18-36	18-36x18-36	La	S	LaxS	AF	0	1	4
5-Feb	18-36	18-36	18-36x18-36	La	S	LaxS	AF	0	1	4
5-Feb	18-36	18-36	18-36x18-36	La	S	LaxS	AF	0	1	3
2-Feb	18-37	18-37	18-37x18-37	La	S	LaxS	AF	0	1	2
3-Feb	18-37	18-37	18-37x18-37	La	S	LaxS	AF	1	0	0
3-Feb	18-37	18-37	18-37x18-37	La	S	LaxS	AF	1	0	0
8-Feb	18-37	18-37	18-37x18-37	La	S	LaxS	AF	0	1	4
8-Feb	18-37	18-37	18-37x18-37	La	S	LaxS	AF	0	1	3
2-Feb	18-38	18-38	18-38x18-38	La	S	LaxS	AF	0	1	4
2-Feb	18-38	18-38	18-38x18-38	La	S	LaxS	AF	0	1	2
2-Feb	18-38	18-38	18-38x18-38	La	S	LaxS	AF	0	1	1
5-Feb	18-38	18-38	18-38x18-38	La	S	LaxS	AF	0	1	4
5-Feb	18-38	18-38	18-38x18-38	La	S	LaxS	AF	1	0	0
10-Feb	18-39	18-39	18-39x18-39	La	S	LaxS	AF	1	0	0
15-Feb	18-39	18-39	18-39x18-39	La	S	LaxS	AF	0	1	3
24-Mar	18-39	18-39	18-39x18-39	La	S	LaxS	AF	1	0	0
24-Mar	18-39	18-39	18-39x18-39	La	S	LaxS	AF	0	1	3
24-Mar	18-39	18-39	18-39x18-39	La	S	LaxS	AF	0	1	2
27-Oct	18-04	X	18-04xX	La	X	LaxX	IL	0	1	4
17-Nov	18-04	X	18-04xX	La	X	LaxX	IL	0	1	1
23-Nov	18-04	X	18-04xX	La	X	LaxX	IL	0	1	2
8-Dec	18-04	X	18-04xX	La	X	LaxX	AF	0	1	4
8-Dec	18-04	X	18-04xX	La	X	LaxX	AF	0	1	4
9-Dec	18-04	X	18-04xX	La	X	LaxX	AF	0	1	2
16-Oct	18-05	X	18-05xX	La	X	LaxX	AF	1	0	0
18-Oct	18-05	X	18-05xX	La	X	LaxX	AF	0	1	4
18-Oct	18-05	X	18-05xX	La	X	LaxX	AF	1	0	0
24-Oct	18-05	X	18-05xX	La	X	LaxX	AF	0	1	4
24-Oct	18-05	X	18-05xX	La	X	LaxX	AF	1	0	0
18-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	3
18-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	4
18-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	3
18-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	4
24-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	4
24-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	4
25-Oct	18-06	X	18-06xX	La	X	LaxX	AF	1	0	0
25-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	4
25-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	4
26-Oct	18-06	X	18-06xX	La	X	LaxX	AF	0	1	4
11-Oct	18-07	X	18-07xX	La	X	LaxX	AF	0	1	4
16-Oct	18-07	X	18-07xX	La	X	LaxX	AF	0	1	1
16-Oct	18-07	X	18-07xX	La	X	LaxX	AF	0	1	4
17-Oct	18-07	X	18-07xX	La	X	LaxX	AF	0	1	4
18-Oct	18-07	X	18-07xX	La	X	LaxX	AF	0	1	4
19-Jan	18-34	X	18-34xX	La	X	LaxX	AF	0	1	4
19-Jan	18-34	X	18-34xX	La	X	LaxX	AF	0	1	4
19-Jan	18-34	X	18-34xX	La	X	LaxX	AF	0	1	3
19-Jan	18-34	X	18-34xX	La	X	LaxX	AF	0	1	4
19-Jan	18-34	X	18-34xX	La	X	LaxX	AF	0	1	3
20-Jan	18-34	X	18-34xX	La	X	LaxX	AF	1	0	0
19-Jan	18-35	X	18-35xX	La	X	LaxX	AF	0	1	4
19-Jan	18-35	X	18-35xX	La	X	LaxX	AF	0	1	3
20-Jan	18-35	X	18-35xX	La	X	LaxX	AF	0	1	4
20-Jan	18-35	X	18-35xX	La	X	LaxX	AF	0	1	3
20-Jan	18-35	X	18-35xX	La	X	LaxX	AF	0	1	2
24-Jan	18-35	X	18-35xX	La	X	LaxX	AF	0	1	1
18-Jan	18-36	X	18-36xX	La	X	LaxX	AF	0	1	4
19-Jan	18-36	X	18-36xX	La	X	LaxX	AF	0	1	3
19-Jan	18-36	X	18-36xX	La	X	LaxX	AF	0	1	4
19-Jan	18-36	X	18-36xX	La	X	LaxX	AF	0	1	4
19-Jan	18-36	X	18-36xX	La	X	LaxX	AF	0	1	3
19-Jan	18-36	X	18-36xX	La	X	LaxX	AF	0	1	3
20-Jan	18-36	X	18-36xX	La	X	LaxX	AF	0	1	2
20-Jan	18-36	X	18-36xX	La	X	LaxX	AF	0	1	3
19-Jan	18-37	X	18-37xX	La	X	LaxX	AF	0	1	4
19-Jan	18-37	X	18-37xX	La	X	LaxX	AF	0	1	3
19-Jan	18-37	X	18-37xX	La	X	LaxX	AF	0	1	3
19-Jan	18-37	X	18-37xX	La	X	LaxX	AF	0	1	4
19-Jan	18-37	X	18-37xX	La	X	LaxX	AF	0	1	4
19-Jan	18-37	X	18-37xX	La	X	LaxX	AF	0	1	4
20-Jan	18-37	X	18-37xX	La	X	LaxX	AF	0	1	3
19-Jan	18-38	X	18-38xX	La	X	LaxX	AF	0	1	3
19-Jan	18-38	X	18-38xX	La	X	LaxX	AF	0	1	4
19-Jan	18-38	X	18-38xX	La	X	LaxX	AF	0	1	3
19-Jan	18-38	X	18-38xX	La	X	LaxX	AF	0	1	4
19-Jan	18-38	X	18-38xX	La	X	LaxX	AF	0	1	3
20-Jan	18-38	X	18-38xX	La	X	LaxX	AF	0	1	3
20-Jan	18-38	X	18-38xX	La	X	LaxX	AF	0	1	4
19-Jan	18-39	X	18-39xX	La	X	LaxX	AF	0	1	4
19-Jan	18-39	X	18-39xX	La	X	LaxX	AF	0	1	3
19-Jan	18-39	X	18-39xX	La	X	LaxX	AF	0	1	4
19-Jan	18-39	X	18-39xX	La	X	LaxX	AF	0	1	4
20-Jan	18-39	X	18-39xX	La	X	LaxX	AF	0	1	3
20-Jan	18-39	X	18-39xX	La	X	LaxX	AF	0	1	3
19-Nov	18-23	18-19	18-23x18-19	Le	Au	LexAu	IL	0	1	1
29-Nov	18-23	18-19	18-23x18-19	Le	Au	LexAu	AF	0	1	1
29-Nov	18-23	18-19	18-23x18-19	Le	Au	LexAu	AF	0	1	4
30-Nov	18-23	18-19	18-23x18-19	Le	Au	LexAu	AF	1	0	0
30-Nov	18-23	18-19	18-23x18-19	Le	Au	LexAu	AF	1	0	0
1-Dec	18-23	18-19	18-23x18-19	Le	Au	LexAu	IL	1	0	0
27-Oct	18-23	18-20	18-23x18-20	Le	Au	LexAu	IL	1	0	0
5-Nov	18-23	18-20	18-23x18-20	Le	Au	LexAu	IL	1	0	0
6-Nov	18-23	18-20	18-23x18-20	Le	Au	LexAu	IL	1	0	0
14-Nov	18-23	18-20	18-23x18-20	Le	Au	LexAu	IL	0	1	1
24-Nov	18-23	18-20	18-23x18-20	Le	Au	LexAu	IL	0	1	2
18-Dec	18-23	18-20	18-23x18-20	Le	Au	LexAu	IL	0	1	2
29-Oct	18-24	18-18	18-24x18-18	Le	Au	LexAu	IL	0	1	3
5-Nov	18-24	18-18	18-24x18-18	Le	Au	LexAu	IL	0	1	1
6-Nov	18-24	18-18	18-24x18-18	Le	Au	LexAu	IL	0	1	3
10-Nov	18-24	18-18	18-24x18-18	Le	Au	LexAu	AF	1	0	0
17-Nov	18-24	18-18	18-24x18-18	Le	Au	LexAu	IL	1	0	0
19-Nov	18-24	18-19	18-24x18-19	Le	Au	LexAu	IL	0	1	3
25-Nov	18-24	18-19	18-24x18-19	Le	Au	LexAu	IL	1	0	0
29-Nov	18-24	18-19	18-24x18-19	Le	Au	LexAu	AF	1	0	0
29-Nov	18-24	18-19	18-24x18-19	Le	Au	LexAu	AF	1	0	0
1-Dec	18-24	18-19	18-24x18-19	Le	Au	LexAu	IL	0	1	2
18-Dec	18-24	18-21	18-24x18-21	Le	Au	LexAu	IL	0	1	2
30-Dec	18-24	18-21	18-24x18-21	Le	Au	LexAu	IL	0	1	2
31-Dec	18-24	18-21	18-24x18-21	Le	Au	LexAu	IL	0	1	1
3-Feb	18-24	18-21	18-24x18-21	Le	Au	LexAu	AF	1	0	0
5-Feb	18-24	18-21	18-24x18-21	Le	Au	LexAu	AF	0	1	1
16-Dec	18-25	18-21	18-25x18-21	Le	Au	LexAu	IL	1	0	0
18-Dec	18-25	18-21	18-25x18-21	Le	Au	LexAu	IL	0	1	1
30-Dec	18-25	18-21	18-25x18-21	Le	Au	LexAu	IL	0	1	1
31-Dec	18-25	18-21	18-25x18-21	Le	Au	LexAu	IL	0	1	2
9-Jan	18-25	18-21	18-25x18-21	Le	Au	LexAu	IL	0	1	3
14-Nov	18-25	18-22	18-25x18-22	Le	Au	LexAu	IL	1	0	0
17-Nov	18-25	18-22	18-25x18-22	Le	Au	LexAu	IL	0	1	4
19-Nov	18-25	18-22	18-25x18-22	Le	Au	LexAu	IL	0	1	3
20-Nov	18-25	18-22	18-25x18-22	Le	Au	LexAu	AF	1	0	0
21-Nov	18-25	18-22	18-25x18-22	Le	Au	LexAu	IL	0	1	4
31-Oct	18-26	18-18	18-26x18-18	Le	Au	LexAu	AF	0	1	3
3-Dec	18-26	18-18	18-26x18-18	Le	Au	LexAu	IL	1	0	0
6-Dec	18-26	18-18	18-26x18-18	Le	Au	LexAu	IL	0	1	1
19-Nov	18-26	18-20	18-26x18-20	Le	Au	LexAu	IL	0	1	2
28-Nov	18-26	18-20	18-26x18-20	Le	Au	LexAu	AF	0	1	1
3-Dec	18-26	18-20	18-26x18-20	Le	Au	LexAu	IL	1	0	0
4-Dec	18-26	18-20	18-26x18-20	Le	Au	LexAu	IL	1	0	0
18-Dec	18-26	18-20	18-26x18-20	Le	Au	LexAu	IL	0	1	4
2-Dec	18-26	18-22	18-26x18-22	Le	Au	LexAu	IL	1	0	0
16-Dec	18-26	18-22	18-26x18-22	Le	Au	LexAu	IL	1	0	0
18-Dec	18-26	18-22	18-26x18-22	Le	Au	LexAu	IL	1	0	0
26-Jan	18-26	18-22	18-26x18-22	Le	Au	LexAu	AF	1	0	0
6-Nov	18-23	18-03	18-23x18-03	Le	C	LexC	IL	0	1	1
19-Nov	18-23	18-03	18-23x18-03	Le	C	LexC	IL	1	0	0
2-Dec	18-23	18-03	18-23x18-03	Le	C	LexC	IL	1	0	0
2-Dec	18-23	18-03	18-23x18-03	Le	C	LexC	IL	1	0	0
4-Dec	18-23	18-03	18-23x18-03	Le	C	LexC	IL	1	0	0
23-Jan	18-23	18-29	18-23x18-29	Le	C	LexC	IL	1	0	0
23-Jan	18-23	18-29	18-23x18-29	Le	C	LexC	IL	1	0	0
2-Feb	18-23	18-29	18-23x18-29	Le	C	LexC	AF	0	1	1
2-Feb	18-23	18-29	18-23x18-29	Le	C	LexC	AF	1	0	0
2-Feb	18-23	18-29	18-23x18-29	Le	C	LexC	AF	1	0	0
2-Feb	18-23	18-29	18-23x18-29	Le	C	LexC	AF	1	0	0
22-Mar	18-24	18-02	18-24x18-02	Le	C	LexC	AF	1	0	0
22-Mar	18-24	18-02	18-24x18-02	Le	C	LexC	AF	1	0	0
18-Dec	18-24	18-28	18-24x18-28	Le	C	LexC	IL	1	0	0
2-Feb	18-24	18-28	18-24x18-28	Le	C	LexC	AF	1	0	0
2-Feb	18-24	18-28	18-24x18-28	Le	C	LexC	AF	1	0	0
2-Feb	18-24	18-28	18-24x18-28	Le	C	LexC	AF	1	0	0
2-Feb	18-24	18-28	18-24x18-28	Le	C	LexC	AF	1	0	0
5-Feb	18-24	18-30	18-24x18-30	Le	C	LexC	AF	1	0	0
5-Feb	18-24	18-30	18-24x18-30	Le	C	LexC	AF	0	1	2
8-Feb	18-24	18-30	18-24x18-30	Le	C	LexC	AF	1	0	0
20-Oct	18-25	18-01	18-25x18-01	Le	C	LexC	IL	1	0	0
20-Oct	18-25	18-01	18-25x18-01	Le	C	LexC	IL	1	0	0
6-Jan	18-25	18-01	18-25x18-01	Le	C	LexC	IL	1	0	0
8-Jan	18-25	18-01	18-25x18-01	Le	C	LexC	IL	1	0	0
10-Jan	18-25	18-01	18-25x18-01	Le	C	LexC	IL	1	0	0
12-Feb	18-25	18-29	18-25x18-29	Le	C	LexC	AF	1	0	0
12-Feb	18-25	18-29	18-25x18-29	Le	C	LexC	AF	1	0	0
12-Feb	18-25	18-29	18-25x18-29	Le	C	LexC	AF	1	0	0
15-Feb	18-25	18-29	18-25x18-29	Le	C	LexC	AF	1	0	0
15-Feb	18-25	18-29	18-25x18-29	Le	C	LexC	AF	0	1	2
12-Feb	18-25	18-29	18-25x18-29	Le	C	LexC	AF	1	0	0
27-Jan	18-25	18-32	18-25x18-32	Le	C	LexC	AF	1	0	0
27-Jan	18-25	18-32	18-25x18-32	Le	C	LexC	AF	1	0	0
27-Jan	18-25	18-32	18-25x18-32	Le	C	LexC	AF	1	0	0
27-Jan	18-25	18-32	18-25x18-32	Le	C	LexC	AF	1	0	0
27-Jan	18-25	18-32	18-25x18-32	Le	C	LexC	AF	0	1	1
5-Nov	18-26	18-02	18-26x18-02	Le	C	LexC	IL	1	0	0
6-Nov	18-26	18-02	18-26x18-02	Le	C	LexC	IL	1	0	0
19-Nov	18-26	18-02	18-26x18-02	Le	C	LexC	IL	1	0	0
21-Nov	18-26	18-02	18-26x18-02	Le	C	LexC	IL	1	0	0
1-Dec	18-26	18-02	18-26x18-02	Le	C	LexC	IL	1	0	0
29-Jan	18-26	18-33	18-26x18-33	Le	C	LexC	AF	1	0	0
29-Jan	18-26	18-33	18-26x18-33	Le	C	LexC	AF	1	0	0
29-Jan	18-26	18-33	18-26x18-33	Le	C	LexC	AF	1	0	0
29-Jan	18-26	18-33	18-26x18-33	Le	C	LexC	AF	1	0	0
29-Jan	18-26	18-33	18-26x18-33	Le	C	LexC	AF	1	0	0
19-Nov	18-23	18-10	18-23x18-10	Le	G	LexG	IL	0	1	3
21-Nov	18-23	18-10	18-23x18-10	Le	G	LexG	IL	1	0	0
24-Nov	18-23	18-10	18-23x18-10	Le	G	LexG	IL	1	0	0
27-Nov	18-23	18-10	18-23x18-10	Le	G	LexG	IL	0	1	2
5-Nov	18-23	18-14	18-23x18-14	Le	G	LexG	IL	0	1	2
17-Nov	18-23	18-14	18-23x18-14	Le	G	LexG	IL	0	1	1
20-Nov	18-23	18-14	18-23x18-14	Le	G	LexG	AF	1	0	0
20-Nov	18-23	18-14	18-23x18-14	Le	G	LexG	AF	1	0	0
21-Nov	18-23	18-14	18-23x18-14	Le	G	LexG	IL	1	0	0
29-Jan	18-23	18-15	18-23x18-15	Le	G	LexG	AF	1	0	0
29-Jan	18-23	18-15	18-23x18-15	Le	G	LexG	AF	1	0	0
5-Feb	18-23	18-15	18-23x18-15	Le	G	LexG	AF	0	1	1
5-Feb	18-23	18-15	18-23x18-15	Le	G	LexG	AF	1	0	0
5-Feb	18-23	18-15	18-23x18-15	Le	G	LexG	AF	1	0	0
29-Jan	18-24	18-09	18-24x18-09	Le	G	LexG	AF	0	1	3
1-Feb	18-24	18-09	18-24x18-09	Le	G	LexG		0	1	1
5-Feb	18-24	18-09	18-24x18-09	Le	G	LexG		0	1	2
9-Feb	18-24	18-09	18-24x18-09	Le	G	LexG	AF	1	0	0
10-Feb	18-24	18-09	18-24x18-09	Le	G	LexG	AF	0	1	1
10-Feb	18-24	18-09	18-24x18-09	Le	G	LexG	AF	1	0	0
21-Nov	18-24	18-12	18-24x18-12	Le	G	LexG	IL	0	1	1
27-Nov	18-24	18-12	18-24x18-12	Le	G	LexG	IL	0	1	4
28-Nov	18-24	18-12	18-24x18-12	Le	G	LexG	AF	1	0	0
28-Nov	18-24	18-12	18-24x18-12	Le	G	LexG	AF	1	0	0
2-Dec	18-24	18-12	18-24x18-12	Le	G	LexG	IL	0	1	1
17-Dec	18-24	18-12	18-24x18-12	Le	G	LexG	IL	1	0	0
29-Jan	18-24	18-12	18-24x18-12	Le	G	LexG	AF	0	1	1
29-Jan	18-24	18-12	18-24x18-12	Le	G	LexG	AF	1	0	0
3-Nov	18-25	18-08	18-25x18-08	Le	G	LexG	IL	0	1	2
5-Nov	18-25	18-08	18-25x18-08	Le	G	LexG	IL	0	1	1
6-Nov	18-25	18-08	18-25x18-08	Le	G	LexG	IL	0	1	1
14-Nov	18-25	18-08	18-25x18-08	Le	G	LexG	IL	1	0	0
